energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.794,0.063,125.015,0.0824,0.00442,0.00183,4,0.714,7,297090,-7.101,0.496,0,audio_features,spotify:track:50PPSxXsLw8n4CQrWPopIW
0.774,0.088,108.023,0.122,0.0039,0.449,4,0.664,1,266667,-8.961,0.125,1,audio_features,spotify:track:3SSzqNGH8gRHBXohGx7BcV
0.741,0.312,123.077,0.034,0.0275,0.0,4,0.646,5,203000,-4.973,0.571,0,audio_features,spotify:track:6h5PAsRni4IRlxWr6uDPTP
0.901,0.517,127.96,0.101,0.0467,0.000239,4,0.63,3,195690,-2.612,0.567,0,audio_features,spotify:track:2LsKvF1f5PVm18UZgQrwml
0.96,0.00936,140.014,0.0714,0.00389,0.0322,4,0.731,11,267253,-4.453,0.61,0,audio_features,spotify:track:6zonhXHUitdQqZTqylx7Jf
0.834,0.509,127.881,0.269,0.328,0.0,4,0.642,5,178125,-5.529,0.606,0,audio_features,spotify:track:2bsyecmZCgdlsCZ3sWVZ99
0.698,0.0745,130.017,0.104,0.163,0.145,4,0.793,11,285571,-3.626,0.339,1,audio_features,spotify:track:1n7omixiROWs5q6xpWiQuL
0.806,0.276,124.976,0.0521,0.00666,0.876,4,0.723,0,410097,-4.989,0.539,1,audio_features,spotify:track:0VffaI2jwQknRrxpECYHsF
0.821,0.0617,128.013,0.0991,0.000643,0.367,4,0.733,7,374125,-6.021,0.63,1,audio_features,spotify:track:14epucTZd8dLIYipdByNZS
0.892,0.304,102.047,0.0672,0.000393,0.813,4,0.602,10,194490,-3.66,0.57,0,audio_features,spotify:track:3dsyqPDiWYYilRZNBxgxHE
0.956,0.0776,124.013,0.0345,0.0189,0.00195,4,0.764,2,197419,-3.815,0.676,1,audio_features,spotify:track:3pnNGIFYIGA7fE4uhuaQ2c
0.981,0.214,139.98,0.064,0.0042,0.83,4,0.619,8,287143,-3.398,0.424,0,audio_features,spotify:track:6AzYQlmA1lEZz4wHbfnnaN
0.964,0.0975,125.003,0.0577,0.00181,0.703,4,0.76,2,248036,-5.844,0.643,1,audio_features,spotify:track:6ho0GyrWZN3mhi9zVRW7xi
0.974,0.487,163.953,0.0621,0.0371,0.25,4,0.665,1,190244,-0.922,0.662,1,audio_features,spotify:track:3H6LY9tKggsxthGMUdVHXC
0.536,0.153,135.684,0.109,0.194,0.00919,4,0.771,11,146939,-16.116,0.688,0,audio_features,spotify:track:2CMq2UImv0YssAzKb95YBH
0.86,0.169,128.998,0.158,0.000617,0.573,4,0.812,7,320013,-6.206,0.695,1,audio_features,spotify:track:2rsJnvvqgdwooeLVNWVqsA
0.917,0.0628,124.032,0.0331,0.123,0.396,4,0.716,6,160669,-5.091,0.751,1,audio_features,spotify:track:4O3APpGNhOldqDsPF8IaS5
0.94,0.336,122.079,0.208,0.0853,0.0,3,0.699,8,253770,-5.969,0.652,0,audio_features,spotify:track:5xzzxWj8a1YBbNZhNLqWuQ
0.8,0.0819,144.957,0.0438,0.0166,2.35e-05,4,0.677,11,187583,-5.731,0.842,1,audio_features,spotify:track:6iXHdoxYWDuuacnffO2fzb
0.909,0.281,126.994,0.23,0.138,0.0,4,0.754,6,220079,-3.323,0.591,0,audio_features,spotify:track:1bW6HUcNcEP9LCuq694yeE
0.977,0.253,126.129,0.22,0.00615,0.0,4,0.624,11,177573,-3.34,0.74,0,audio_features,spotify:track:6ddQ5KCkvCggk3j6KdA0zL
0.748,0.0749,126.076,0.0511,0.000953,0.395,4,0.756,11,160000,-6.714,0.678,0,audio_features,spotify:track:3HybwTm4C1n07gqg85f8qt
0.763,0.0901,117.953,0.0435,0.0301,2.23e-05,4,0.754,7,164819,-4.627,0.464,0,audio_features,spotify:track:18asYwWugKjjsihZ0YvRxO
0.979,0.0797,128.034,0.13,0.0211,0.00465,4,0.703,7,235781,-3.245,0.276,0,audio_features,spotify:track:7JqKkV9l6J9TVSB1PX9PR2
0.934,0.876,128.016,0.0474,0.0243,0.922,4,0.706,3,264760,-5.504,0.452,0,audio_features,spotify:track:3Af7K6rJ85E9eS0yy8eRNA
0.913,0.161,119.986,0.0426,0.093,3.69e-05,4,0.818,4,219160,-3.06,0.536,0,audio_features,spotify:track:1vvNmPOiUuyCbgWmtc6yfm
0.534,0.0781,128.013,0.134,0.000148,0.615,4,0.807,11,338416,-13.391,0.327,0,audio_features,spotify:track:6zlQ2p4KXVvfxJOpVTFAwk
0.635,0.319,100.034,0.226,0.271,0.0,4,0.64,8,223187,-7.565,0.475,0,audio_features,spotify:track:5masKPHeAOVNgxdLebIcK7
0.94,0.0691,129.011,0.0838,0.0209,0.0,4,0.646,10,231787,-2.856,0.704,0,audio_features,spotify:track:4nVyHATevhl5RC6Qmoko5H
0.886,0.19,127.993,0.0693,0.00117,0.00539,4,0.698,7,384390,-4.448,0.204,0,audio_features,spotify:track:4iPAcrdHmrYtkgKf0b47S8
0.812,0.0857,128.178,0.0414,0.000329,0.0369,4,0.648,11,250947,-7.585,0.122,0,audio_features,spotify:track:0NIC4unbe5KZOp1d9T7OaF
0.912,0.232,128.004,0.0565,0.0195,0.0,4,0.706,8,223413,-4.44,0.925,0,audio_features,spotify:track:2SSFvQBwsxeazzo7z5l9gD
0.958,0.0655,125.036,0.0445,0.000537,0.0348,4,0.647,7,195840,-3.313,0.516,0,audio_features,spotify:track:2Natup55yLMpYXRSccIT0V
0.906,0.104,127.98,0.0419,0.000212,0.944,4,0.587,11,280990,-4.655,0.184,0,audio_features,spotify:track:4O799OM270z43L7pKzNqrt
0.883,0.817,127.961,0.219,0.0288,0.0,4,0.699,5,211975,-3.226,0.499,0,audio_features,spotify:track:3MOECVkNshqHYTPt5DZcdN
0.908,0.939,125.062,0.0398,0.295,0.694,4,0.629,8,240010,-5.435,0.357,1,audio_features,spotify:track:6etVFDSbFabj0tPY10MAXR
0.866,0.145,126.002,0.0498,0.0689,0.0,4,0.693,5,124778,-4.964,0.663,0,audio_features,spotify:track:1ohLQfIwj9NUN7e5UKeDl9
0.886,0.296,124.04,0.0445,0.000755,0.878,4,0.793,10,158725,-5.071,0.285,0,audio_features,spotify:track:0B3H6se7MYo3D7BmzfvdVN
0.916,0.225,128.012,0.0626,0.0453,1.26e-05,4,0.559,11,215295,-3.05,0.195,1,audio_features,spotify:track:2EpS5TgdngSISM63rhBsnK
0.69,0.059,123.997,0.0856,0.0227,0.0526,4,0.868,3,192906,-5.606,0.457,0,audio_features,spotify:track:2dwnD6tMYqp8zQmfg1XvNQ
0.87,0.0429,123.999,0.0493,0.00424,0.196,4,0.818,9,219429,-5.162,0.741,1,audio_features,spotify:track:2Rnkr8qIMsefE7ubIm4JAo
0.552,0.0876,123.004,0.0314,0.00113,0.0101,4,0.796,0,493796,-7.226,0.468,1,audio_features,spotify:track:1u73tmG4xQschbK8cXxSD9
0.692,0.0603,125.024,0.0492,0.0187,0.728,4,0.897,11,278400,-4.985,0.607,0,audio_features,spotify:track:30Ek6vDZ77PWTQS9HiV3xB
0.79,0.0746,129.005,0.0672,0.0418,0.00615,4,0.862,4,186125,-8.412,0.587,0,audio_features,spotify:track:3BbD2sqk7P7Rc9V0KF9o4s
0.866,0.126,128.009,0.0543,0.00199,0.177,4,0.817,11,288750,-4.63,0.702,1,audio_features,spotify:track:1QPb3sFVfZlcrSHp9skszO
0.69,0.0526,125.004,0.0493,0.0127,6e-05,4,0.847,1,186662,-7.877,0.692,0,audio_features,spotify:track:4zN21mbAuaD0WqtmaTZZeP
0.991,0.697,127.996,0.247,0.00103,0.192,4,0.573,0,271875,-8.586,0.0651,1,audio_features,spotify:track:6lg50M13aPGe5HXhdrYWqN
0.832,0.178,125.017,0.0499,0.00945,0.206,3,0.721,8,288934,-7.251,0.303,1,audio_features,spotify:track:2aoOHHnDzS653vhmsCzmIp
0.801,0.0412,125.945,0.0697,0.0217,0.00731,4,0.859,11,169534,-4.431,0.668,0,audio_features,spotify:track:7fAMw90ZJpLiSzK1d3grfF
0.876,0.29,124.999,0.0408,0.129,1.39e-06,4,0.629,5,188260,-5.572,0.645,0,audio_features,spotify:track:44xO8889yUQHn70P73NILS
0.745,0.198,125.013,0.0755,0.0467,3.29e-05,4,0.824,11,210547,-5.49,0.888,0,audio_features,spotify:track:7dsImih2L25fa6qjNphBI7
0.937,0.0912,125.025,0.0496,0.0443,0.101,4,0.779,9,185000,-6.269,0.49,0,audio_features,spotify:track:3T00mhdOYUuM5yiuPs3xhs
0.849,0.159,125.99,0.0378,0.00172,0.82,4,0.73,2,186687,-6.899,0.688,1,audio_features,spotify:track:5h2ED2Bw6lKWZDOuQTTSDG
0.906,0.162,131.027,0.115,0.00746,0.0295,4,0.738,7,244284,-5.289,0.697,0,audio_features,spotify:track:51bwChuoablcgmmSjvwe8Y
0.877,0.0886,125.033,0.0497,0.372,0.544,4,0.74,1,240480,-8.357,0.377,1,audio_features,spotify:track:7xbBNB9bivza5vrYfnZJYg
0.801,0.044,123.971,0.112,0.12,4.37e-05,4,0.916,11,264375,-4.744,0.787,0,audio_features,spotify:track:3mUIgnJl0lkGkg5DoWvPlB
